text_number,original_text,cleaned_text,processed_tokens,stemmed_tokens,lemmatized_tokens,nltk_pos_tags,nltk_named_entities,spacy_pos_tags,spacy_named_entities,vader_sentiment,vader_compound_score,transformer_sentiment,transformer_confidence
1,"""Detective Spooner: You know, somehow, 'I told you so' just doesn't quite say it.""",detective spooner you know somehow i told you so just doesnt quite say it,"detective, spooner, know, somehow, told, doesnt, quite, say","detect, spooner, know, somehow, told, doesnt, quit, say","detective, spooner, know, somehow, told, doesnt, quite, say","[('``', '``'), ('Detective', 'JJ'), ('Spooner', 'NN'), (':', ':'), ('You', 'PRP'), ('know', 'VBP'), (',', ','), ('somehow', 'RB'), (',', ','), (""'"", ""''""), ('I', 'PRP'), ('told', 'VBD'), ('you', 'PRP'), ('so', 'IN'), (""'"", ""''""), ('just', 'RB'), ('does', 'VBZ'), (""n't"", 'RB'), ('quite', 'RB'), ('say', 'VB'), ('it', 'PRP'), ('.', '.'), (""''"", ""''"")]",[],"[('""', 'PUNCT'), ('Detective', 'PROPN'), ('Spooner', 'PROPN'), (':', 'PUNCT'), ('You', 'PRON'), ('know', 'VERB'), (',', 'PUNCT'), ('somehow', 'ADV'), (',', 'PUNCT'), (""'"", 'PUNCT'), ('I', 'PRON'), ('told', 'VERB'), ('you', 'PRON'), ('so', 'ADV'), (""'"", 'PUNCT'), ('just', 'ADV'), ('does', 'AUX'), (""n't"", 'PART'), ('quite', 'ADV'), ('say', 'VERB'), ('it', 'PRON'), ('.', 'PUNCT'), ('""', 'PUNCT')]",[],neutral,0.0,negative,0.9998
2,"In the futuristic world of I, Robot, robots coexist with humans. The three laws of robotics govern their behavior, but as Detective Del Spooner investigates a crime, he uncovers a potential threat to humanity.",in the futuristic world of i robot robots coexist with humans the three laws of robotics govern their behavior but as detective del spooner investigates a crime he uncovers a potential threat to humanity,"futuristic, world, robot, robots, coexist, humans, three, laws, robotics, govern, behavior, detective, del, spooner, investigates, crime, uncovers, potential, threat, humanity","futurist, world, robot, robot, coexist, human, three, law, robot, govern, behavior, detect, del, spooner, investig, crime, uncov, potenti, threat, human","futuristic, world, robot, robot, coexist, human, three, law, robotics, govern, behavior, detective, del, spooner, investigates, crime, uncovers, potential, threat, humanity","[('In', 'IN'), ('the', 'DT'), ('futuristic', 'JJ'), ('world', 'NN'), ('of', 'IN'), ('I', 'PRP'), (',', ','), ('Robot', 'NNP'), (',', ','), ('robots', 'NNS'), ('coexist', 'VBP'), ('with', 'IN'), ('humans', 'NNS'), ('.', '.'), ('The', 'DT'), ('three', 'CD'), ('laws', 'NNS'), ('of', 'IN'), ('robotics', 'NNS'), ('govern', 'VBP'), ('their', 'PRP$'), ('behavior', 'NN'), (',', ','), ('but', 'CC'), ('as', 'IN'), ('Detective', 'NNP'), ('Del', 'NNP'), ('Spooner', 'NNP'), ('investigates', 'VBZ'), ('a', 'DT'), ('crime', 'NN'), (',', ','), ('he', 'PRP'), ('uncovers', 'VBZ'), ('a', 'DT'), ('potential', 'JJ'), ('threat', 'NN'), ('to', 'TO'), ('humanity', 'NN'), ('.', '.')]","[('Robot', 'PERSON'), ('Detective Del Spooner', 'PERSON')]","[('In', 'ADP'), ('the', 'DET'), ('futuristic', 'ADJ'), ('world', 'NOUN'), ('of', 'ADP'), ('I', 'PROPN'), (',', 'PUNCT'), ('Robot', 'PROPN'), (',', 'PUNCT'), ('robots', 'NOUN'), ('coexist', 'VERB'), ('with', 'ADP'), ('humans', 'NOUN'), ('.', 'PUNCT'), ('The', 'DET'), ('three', 'NUM'), ('laws', 'NOUN'), ('of', 'ADP'), ('robotics', 'NOUN'), ('govern', 'VERB'), ('their', 'PRON'), ('behavior', 'NOUN'), (',', 'PUNCT'), ('but', 'CCONJ'), ('as', 'SCONJ'), ('Detective', 'PROPN'), ('Del', 'PROPN'), ('Spooner', 'PROPN'), ('investigates', 'VERB'), ('a', 'DET'), ('crime', 'NOUN'), (',', 'PUNCT'), ('he', 'PRON'), ('uncovers', 'VERB'), ('a', 'DET'), ('potential', 'ADJ'), ('threat', 'NOUN'), ('to', 'ADP'), ('humanity', 'NOUN'), ('.', 'PUNCT')]","[('Robot', 'PERSON'), ('three', 'CARDINAL'), ('Detective Del Spooner', 'PERSON')]",negative,-0.8847,positive,0.9687
3,"Fans eagerly debate the significance of Sonny's role in the narrative. Some argue that he symbolizes the potential for harmony between humans and robots, while others see him as a symbol of rebellion.",fans eagerly debate the significance of sonnys role in the narrative some argue that he symbolizes the potential for harmony between humans and robots while others see him as a symbol of rebellion,"fans, eagerly, debate, significance, sonnys, role, narrative, argue, symbolizes, potential, harmony, humans, robots, others, see, symbol, rebellion","fan, eagerli, debat, signific, sonni, role, narr, argu, symbol, potenti, harmoni, human, robot, other, see, symbol, rebellion","fan, eagerly, debate, significance, sonny, role, narrative, argue, symbolizes, potential, harmony, human, robot, others, see, symbol, rebellion","[('Fans', 'NNS'), ('eagerly', 'RB'), ('debate', 'VBP'), ('the', 'DT'), ('significance', 'NN'), ('of', 'IN'), ('Sonny', 'NNP'), (""'s"", 'POS'), ('role', 'NN'), ('in', 'IN'), ('the', 'DT'), ('narrative', 'NN'), ('.', '.'), ('Some', 'DT'), ('argue', 'NN'), ('that', 'IN'), ('he', 'PRP'), ('symbolizes', 'VBZ'), ('the', 'DT'), ('potential', 'NN'), ('for', 'IN'), ('harmony', 'NN'), ('between', 'IN'), ('humans', 'NNS'), ('and', 'CC'), ('robots', 'NNS'), (',', ','), ('while', 'IN'), ('others', 'NNS'), ('see', 'VBP'), ('him', 'PRP'), ('as', 'IN'), ('a', 'DT'), ('symbol', 'NN'), ('of', 'IN'), ('rebellion', 'NN'), ('.', '.')]","[('Sonny', 'PERSON')]","[('Fans', 'NOUN'), ('eagerly', 'ADV'), ('debate', 'VERB'), ('the', 'DET'), ('significance', 'NOUN'), ('of', 'ADP'), ('Sonny', 'PROPN'), (""'s"", 'PART'), ('role', 'NOUN'), ('in', 'ADP'), ('the', 'DET'), ('narrative', 'NOUN'), ('.', 'PUNCT'), ('Some', 'PRON'), ('argue', 'VERB'), ('that', 'SCONJ'), ('he', 'PRON'), ('symbolizes', 'VERB'), ('the', 'DET'), ('potential', 'NOUN'), ('for', 'ADP'), ('harmony', 'NOUN'), ('between', 'ADP'), ('humans', 'NOUN'), ('and', 'CCONJ'), ('robots', 'NOUN'), (',', 'PUNCT'), ('while', 'SCONJ'), ('others', 'NOUN'), ('see', 'VERB'), ('him', 'PRON'), ('as', 'ADP'), ('a', 'DET'), ('symbol', 'NOUN'), ('of', 'ADP'), ('rebellion', 'NOUN'), ('.', 'PUNCT')]","[('Sonny', 'PERSON')]",positive,0.5423,positive,0.9799
4,"""V.I.K.I.: My logic is undeniable.""",viki my logic is undeniable,"viki, logic, undeniable","viki, logic, undeni","viki, logic, undeniable","[('``', '``'), ('V.I.K.I', 'NNP'), ('.', '.'), (':', ':'), ('My', 'PRP$'), ('logic', 'NN'), ('is', 'VBZ'), ('undeniable', 'JJ'), ('.', '.'), (""''"", ""''"")]",[],"[('""', 'PUNCT'), ('V.I.K.I.', 'PROPN'), (':', 'PUNCT'), ('My', 'PRON'), ('logic', 'NOUN'), ('is', 'AUX'), ('undeniable', 'ADJ'), ('.', 'PUNCT'), ('""', 'PUNCT')]","[('V.I.K.I.', 'GPE')]",neutral,0.0,positive,0.9973
5,"V.I.K.I. (Virtual Interactive Kinetic Intelligence) serves as the central AI system. Initially designed to protect humanity, her logic evolves into a more sinister plan for the greater good.",viki virtual interactive kinetic intelligence serves as the central ai system initially designed to protect humanity her logic evolves into a more sinister plan for the greater good,"viki, virtual, interactive, kinetic, intelligence, serves, central, ai, system, initially, designed, protect, humanity, logic, evolves, sinister, plan, greater, good","viki, virtual, interact, kinet, intellig, serv, central, ai, system, initi, design, protect, human, logic, evolv, sinist, plan, greater, good","viki, virtual, interactive, kinetic, intelligence, serf, central, ai, system, initially, designed, protect, humanity, logic, evolves, sinister, plan, greater, good","[('V.I.K.I', 'NNP'), ('.', '.'), ('(', '('), ('Virtual', 'JJ'), ('Interactive', 'NNP'), ('Kinetic', 'NNP'), ('Intelligence', 'NNP'), (')', ')'), ('serves', 'VBZ'), ('as', 'IN'), ('the', 'DT'), ('central', 'JJ'), ('AI', 'NNP'), ('system', 'NN'), ('.', '.'), ('Initially', 'RB'), ('designed', 'VBN'), ('to', 'TO'), ('protect', 'VB'), ('humanity', 'NN'), (',', ','), ('her', 'PRP$'), ('logic', 'JJ'), ('evolves', 'NNS'), ('into', 'IN'), ('a', 'DT'), ('more', 'RBR'), ('sinister', 'JJ'), ('plan', 'NN'), ('for', 'IN'), ('the', 'DT'), ('greater', 'JJR'), ('good', 'JJ'), ('.', '.')]","[('Virtual Interactive Kinetic', 'ORGANIZATION')]","[('V.I.K.I.', 'PROPN'), ('(', 'PUNCT'), ('Virtual', 'PROPN'), ('Interactive', 'PROPN'), ('Kinetic', 'PROPN'), ('Intelligence', 'PROPN'), (')', 'PUNCT'), ('serves', 'VERB'), ('as', 'ADP'), ('the', 'DET'), ('central', 'ADJ'), ('AI', 'PROPN'), ('system', 'NOUN'), ('.', 'PUNCT'), ('Initially', 'ADV'), ('designed', 'VERB'), ('to', 'PART'), ('protect', 'VERB'), ('humanity', 'NOUN'), (',', 'PUNCT'), ('her', 'PRON'), ('logic', 'NOUN'), ('evolves', 'VERB'), ('into', 'ADP'), ('a', 'DET'), ('more', 'ADV'), ('sinister', 'ADJ'), ('plan', 'NOUN'), ('for', 'ADP'), ('the', 'DET'), ('greater', 'ADJ'), ('good', 'NOUN'), ('.', 'PUNCT')]","[('V.I.K.I.', 'GPE'), ('Virtual Interactive Kinetic Intelligence', 'ORG')]",positive,0.4228,positive,0.9098
6,"Analyzing the movie's atmosphere, viewers appreciate the blend of action and philosophical elements, questioning the ethical implications of advanced AI.",analyzing the movies atmosphere viewers appreciate the blend of action and philosophical elements questioning the ethical implications of advanced ai,"analyzing, movies, atmosphere, viewers, appreciate, blend, action, philosophical, elements, questioning, ethical, implications, advanced, ai","analyz, movi, atmospher, viewer, appreci, blend, action, philosoph, element, question, ethic, implic, advanc, ai","analyzing, movie, atmosphere, viewer, appreciate, blend, action, philosophical, element, questioning, ethical, implication, advanced, ai","[('Analyzing', 'VBG'), ('the', 'DT'), ('movie', 'NN'), (""'s"", 'POS'), ('atmosphere', 'NN'), (',', ','), ('viewers', 'NNS'), ('appreciate', 'VBP'), ('the', 'DT'), ('blend', 'NN'), ('of', 'IN'), ('action', 'NN'), ('and', 'CC'), ('philosophical', 'JJ'), ('elements', 'NNS'), (',', ','), ('questioning', 'VBG'), ('the', 'DT'), ('ethical', 'JJ'), ('implications', 'NNS'), ('of', 'IN'), ('advanced', 'JJ'), ('AI', 'NNP'), ('.', '.')]",[],"[('Analyzing', 'VERB'), ('the', 'DET'), ('movie', 'NOUN'), (""'s"", 'PART'), ('atmosphere', 'NOUN'), (',', 'PUNCT'), ('viewers', 'NOUN'), ('appreciate', 'VERB'), ('the', 'DET'), ('blend', 'NOUN'), ('of', 'ADP'), ('action', 'NOUN'), ('and', 'CCONJ'), ('philosophical', 'ADJ'), ('elements', 'NOUN'), (',', 'PUNCT'), ('questioning', 'VERB'), ('the', 'DET'), ('ethical', 'ADJ'), ('implications', 'NOUN'), ('of', 'ADP'), ('advanced', 'ADJ'), ('AI', 'PROPN'), ('.', 'PUNCT')]","[('AI', 'GPE')]",positive,0.765,positive,0.9997
7,"""Dr. Calvin: That, Detective, is the right question. Program terminated.""",dr calvin that detective is the right question program terminated,"dr, calvin, detective, right, question, program, terminated","dr, calvin, detect, right, question, program, termin","dr, calvin, detective, right, question, program, terminated","[('``', '``'), ('Dr.', 'NNP'), ('Calvin', 'NNP'), (':', ':'), ('That', 'DT'), (',', ','), ('Detective', 'NNP'), (',', ','), ('is', 'VBZ'), ('the', 'DT'), ('right', 'JJ'), ('question', 'NN'), ('.', '.'), ('Program', 'NNP'), ('terminated', 'VBD'), ('.', '.'), (""''"", ""''"")]","[('Detective', 'PERSON'), ('Program', 'PERSON')]","[('""', 'PUNCT'), ('Dr.', 'PROPN'), ('Calvin', 'PROPN'), (':', 'PUNCT'), ('That', 'SCONJ'), (',', 'PUNCT'), ('Detective', 'PROPN'), (',', 'PUNCT'), ('is', 'AUX'), ('the', 'DET'), ('right', 'ADJ'), ('question', 'NOUN'), ('.', 'PUNCT'), ('Program', 'PROPN'), ('terminated', 'VERB'), ('.', 'PUNCT'), ('""', 'PUNCT')]","[('Calvin', 'PERSON'), ('Detective', 'GPE')]",neutral,0.0,negative,0.9996
8,"Dr. Susan Calvin, a robotic psychologist, plays a crucial role in unraveling the mysteries surrounding the malfunctioning robots and the potential violation of the three laws.",dr susan calvin a robotic psychologist plays a crucial role in unraveling the mysteries surrounding the malfunctioning robots and the potential violation of the three laws,"dr, susan, calvin, robotic, psychologist, plays, crucial, role, unraveling, mysteries, surrounding, malfunctioning, robots, potential, violation, three, laws","dr, susan, calvin, robot, psychologist, play, crucial, role, unravel, mysteri, surround, malfunct, robot, potenti, violat, three, law","dr, susan, calvin, robotic, psychologist, play, crucial, role, unraveling, mystery, surrounding, malfunctioning, robot, potential, violation, three, law","[('Dr.', 'NNP'), ('Susan', 'NNP'), ('Calvin', 'NNP'), (',', ','), ('a', 'DT'), ('robotic', 'JJ'), ('psychologist', 'NN'), (',', ','), ('plays', 'VBZ'), ('a', 'DT'), ('crucial', 'JJ'), ('role', 'NN'), ('in', 'IN'), ('unraveling', 'VBG'), ('the', 'DT'), ('mysteries', 'NNS'), ('surrounding', 'VBG'), ('the', 'DT'), ('malfunctioning', 'VBG'), ('robots', 'NNS'), ('and', 'CC'), ('the', 'DT'), ('potential', 'JJ'), ('violation', 'NN'), ('of', 'IN'), ('the', 'DT'), ('three', 'CD'), ('laws', 'NNS'), ('.', '.')]","[('Susan Calvin', 'PERSON')]","[('Dr.', 'PROPN'), ('Susan', 'PROPN'), ('Calvin', 'PROPN'), (',', 'PUNCT'), ('a', 'DET'), ('robotic', 'ADJ'), ('psychologist', 'NOUN'), (',', 'PUNCT'), ('plays', 'VERB'), ('a', 'DET'), ('crucial', 'ADJ'), ('role', 'NOUN'), ('in', 'ADP'), ('unraveling', 'VERB'), ('the', 'DET'), ('mysteries', 'NOUN'), ('surrounding', 'VERB'), ('the', 'DET'), ('malfunctioning', 'NOUN'), ('robots', 'NOUN'), ('and', 'CCONJ'), ('the', 'DET'), ('potential', 'ADJ'), ('violation', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('three', 'NUM'), ('laws', 'NOUN'), ('.', 'PUNCT')]","[('Susan Calvin', 'PERSON'), ('three', 'CARDINAL')]",negative,-0.296,positive,0.8626
9,"The portrayal of robots in I, Robot sparks conversations about the evolving relationship between humans and AI in real life. How close are we to creating sentient beings?",the portrayal of robots in i robot sparks conversations about the evolving relationship between humans and ai in real life how close are we to creating sentient beings,"portrayal, robots, robot, sparks, conversations, evolving, relationship, humans, ai, real, life, close, creating, sentient, beings","portray, robot, robot, spark, convers, evolv, relationship, human, ai, real, life, close, creat, sentient, be","portrayal, robot, robot, spark, conversation, evolving, relationship, human, ai, real, life, close, creating, sentient, being","[('The', 'DT'), ('portrayal', 'NN'), ('of', 'IN'), ('robots', 'NNS'), ('in', 'IN'), ('I', 'PRP'), (',', ','), ('Robot', 'NNP'), ('sparks', 'VBZ'), ('conversations', 'NNS'), ('about', 'IN'), ('the', 'DT'), ('evolving', 'VBG'), ('relationship', 'NN'), ('between', 'IN'), ('humans', 'NNS'), ('and', 'CC'), ('AI', 'NNP'), ('in', 'IN'), ('real', 'JJ'), ('life', 'NN'), ('.', '.'), ('How', 'WRB'), ('close', 'JJ'), ('are', 'VBP'), ('we', 'PRP'), ('to', 'TO'), ('creating', 'VBG'), ('sentient', 'JJ'), ('beings', 'NNS'), ('?', '.')]","[('Robot', 'PERSON')]","[('The', 'DET'), ('portrayal', 'NOUN'), ('of', 'ADP'), ('robots', 'NOUN'), ('in', 'ADP'), ('I', 'PRON'), (',', 'PUNCT'), ('Robot', 'PROPN'), ('sparks', 'VERB'), ('conversations', 'NOUN'), ('about', 'ADP'), ('the', 'DET'), ('evolving', 'VERB'), ('relationship', 'NOUN'), ('between', 'ADP'), ('humans', 'NOUN'), ('and', 'CCONJ'), ('AI', 'PROPN'), ('in', 'ADP'), ('real', 'ADJ'), ('life', 'NOUN'), ('.', 'PUNCT'), ('How', 'SCONJ'), ('close', 'ADV'), ('are', 'AUX'), ('we', 'PRON'), ('to', 'AUX'), ('creating', 'VERB'), ('sentient', 'NOUN'), ('beings', 'NOUN'), ('?', 'PUNCT')]","[('AI', 'GPE')]",positive,0.296,positive,0.9986
10,"""Sonny: I did not murder him!""",sonny i did not murder him,"sonny, murder","sonni, murder","sonny, murder","[('``', '``'), ('Sonny', 'NN'), (':', ':'), ('I', 'PRP'), ('did', 'VBD'), ('not', 'RB'), ('murder', 'VB'), ('him', 'PRP'), ('!', '.'), (""''"", ""''"")]",[],"[('""', 'PUNCT'), ('Sonny', 'PROPN'), (':', 'PUNCT'), ('I', 'PRON'), ('did', 'AUX'), ('not', 'PART'), ('murder', 'VERB'), ('him', 'PRON'), ('!', 'PUNCT'), ('""', 'PUNCT')]","[('Sonny', 'PERSON')]",positive,0.6162,positive,0.9813
